label,size,mean,std,min,max
numpy_matrix_multiplication,500,0.004539608955383301,0.0005688787129915465,0.00391387939453125,0.005899906158447266
numpy_matrix_multiplication,1000,0.021083807945251463,0.0021117511659613304,0.019522428512573242,0.02529001235961914
numpy_matrix_multiplication,2000,0.11283073425292969,0.006162472156078157,0.10841631889343262,0.12476277351379395
numpy_matrix_multiplication,5000,1.2958510398864747,0.0010418020240320538,1.2941858768463135,1.2971549034118652
numpy_matrix_multiplication,10000,9.115755581855774,0.006021209966042681,9.106682062149048,9.127579689025879
numpy_matrix_inversion,500,0.00482645034790039,0.0007977178699381733,0.004415988922119141,0.007098197937011719
numpy_matrix_inversion,1000,0.024937152862548828,0.0017302562427813195,0.023981094360351562,0.029674291610717773
numpy_matrix_inversion,2000,0.16962435245513915,0.0013703931818543071,0.1682567596435547,0.17232203483581543
numpy_matrix_inversion,5000,1.7697561502456665,0.006894616151008217,1.7658274173736572,1.790304183959961
numpy_matrix_inversion,10000,12.731820058822631,0.007894530551637299,12.722571611404419,12.749136447906494
scipy_pairwise_euclidean_distance,500,0.06425065994262695,0.000549968522395251,0.0639948844909668,0.06586194038391113
scipy_pairwise_euclidean_distance,1000,0.26896584033966064,0.00136771063045154,0.268139123916626,0.27211761474609375
scipy_pairwise_euclidean_distance,2000,1.1661083936691283,0.012798834602621482,1.1320664882659912,1.1844933032989502
scipy_pairwise_euclidean_distance,5000,7.3131303787231445,0.003530156669539054,7.309583902359009,7.3228559494018555
scipy_pairwise_euclidean_distance,8000,18.839882707595827,0.0030841685922453925,18.835036993026733,18.846253395080566
numpy_linear_fit,30000,0.0008851289749145508,0.00011304431569523644,0.0008265972137451172,0.0012199878692626953
numpy_linear_fit,70000,0.0019543647766113283,0.00011633594439871508,0.0018758773803710938,0.0022966861724853516
numpy_linear_fit,150000,0.005005478858947754,5.622254365955261e-05,0.0048465728759765625,0.005067110061645508
numpy_linear_fit,300000,0.010320377349853516,4.0068907579558785e-05,0.010261297225952148,0.01037907600402832
multiprocessing_fibonacci,100,0.14805753231048585,0.0018254917300226602,0.14526867866516113,0.15229344367980957
multiprocessing_fibonacci,200,0.27945551872253416,0.0022793973216012984,0.27596402168273926,0.2839055061340332
multiprocessing_fibonacci,300,0.410554838180542,0.0036823282408661147,0.40672969818115234,0.41858458518981934
multiprocessing_fibonacci,500,0.6712651014328003,0.0038597252634952448,0.664076566696167,0.677847146987915
multiprocessing_fibonacci,1500,1.9497567892074585,0.011570341555597599,1.9296143054962158,1.9664294719696045
